hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458067.85103,bh,V,9.851,0.02,440.175,8.099
2458056.85646,bh,V,9.723,0.02,494.942,9.107
2458068.85508,bh,V,9.73,0.02,492.139,9.055
2457747.79482,bh,V,9.746,0.02,484.658,8.918
2457766.80901,bh,V,9.774,0.02,472.412,8.692
2457806.7071,bh,V,9.816,0.02,454.396,8.361
2457876.62839,bh,V,9.789,0.02,465.916,8.573
2458052.86165,bh,V,9.722,0.02,495.646,9.12
2457864.72356,bh,V,9.76,0.02,478.747,8.809
2457879.67244,bh,V,9.706,0.02,502.737,9.25
2458094.84619,bh,V,9.742,0.02,486.434,8.95
2457917.51514,bh,V,9.649,0.02,529.893,9.75
2457691.853,bh,V,9.766,0.02,476.072,8.76
2457804.70875,bh,V,9.776,0.02,471.423,8.674
2457467.54802,bh,V,9.69,0.02,510.537,9.394
2457095.76257,bf,V,9.722,0.02,515.997,9.494
2456980.80682,bf,V,9.692,0.02,530.67,9.764
2457453.71333,bh,V,9.69,0.02,510.336,9.39
2457429.76446,bh,V,9.679,0.02,515.722,9.489
2457374.8151,bh,V,9.723,0.02,495.18,9.111
2457075.86903,bf,V,9.732,0.02,511.516,9.412
2456967.83397,bf,V,9.835,0.02,464.873,8.554
2457446.80967,bh,V,9.736,0.02,489.452,9.006
2457451.77034,bh,V,9.656,0.02,526.573,9.689
2457724.82778,bh,V,9.754,0.02,481.121,8.853
2457384.78901,bh,V,9.688,0.02,511.223,9.406
2457336.85459,bh,V,9.671,0.02,519.531,9.559
2457735.73326,bh,V,9.824,0.02,451.178,8.302
2457405.85008,bh,V,9.733,0.02,490.76,9.03
2457471.62807,bh,V,9.696,0.02,507.76,9.343
2457228.4497,bh,V,9.734,0.02,490.039,9.017
2457140.68254,bf,V,9.724,0.02,514.598,9.469
2457397.76363,bh,V,9.708,0.02,502.067,9.238
2457331.85092,bh,V,9.699,0.02,506.064,9.312
2457227.4878,bf,V,9.861,0.02,453.857,8.351
2457713.80947,bh,V,9.701,0.02,505.264,9.297
2457567.47062,bh,V,9.687,0.02,511.645,9.414
2457065.81827,bf,V,9.747,0.02,504.225,9.278
2457046.73961,bf,V,9.737,0.02,508.785,9.362
2457151.67292,bf,V,9.758,0.02,499.3,9.187
2457137.58209,bf,V,9.683,0.02,534.924,9.843
2457123.69493,bf,V,9.752,0.02,502.036,9.237
2457049.7287,bf,V,9.669,0.02,542.086,9.974
2457576.49603,bh,V,9.641,0.02,534.111,9.828
2457202.50012,bf,V,9.809,0.02,476.42,8.766
2457408.7342,bh,V,9.758,0.02,479.329,8.82
2456992.7942,bf,V,9.771,0.02,493.268,9.076
2457131.68307,bf,V,9.676,0.02,537.94,9.898
2457097.65906,bf,V,9.739,0.02,508.051,9.348
2457051.72538,bf,V,9.696,0.02,528.81,9.73
2457053.72609,bf,V,9.663,0.02,544.955,10.027
2457021.75778,bf,V,9.706,0.02,523.726,9.637
2457006.77349,bf,V,9.779,0.02,489.557,9.008
2456982.80922,bf,V,9.801,0.02,479.792,8.828
2457023.73117,bf,V,9.722,0.02,516.273,9.499
2456978.80816,bf,V,9.699,0.02,527.11,9.699
2457035.66571,bf,V,9.732,0.02,511.244,9.407
2457066.86316,bf,V,9.705,0.02,524.14,9.644
2456954.8658,bf,V,9.729,0.02,512.532,9.431
2456848.47336,bf,V,9.654,0.02,549.401,10.109
2456844.44971,bf,V,9.728,0.02,513.225,9.443
2456795.53969,bf,V,9.674,0.02,539.599,9.929
2458161.72562,bh,V,9.748,0.02,483.653,8.899
2458217.62373,bh,V,9.797,0.02,462.528,8.511
2457784.65184,bh,V,9.682,0.02,514.411,9.465
2457751.69084,bh,V,9.726,0.02,493.77,9.085
2457820.71594,bh,V,9.815,0.02,455.061,8.373
2457775.73593,bh,V,9.9,0.02,420.543,7.738
2457808.72142,bh,V,9.769,0.02,474.784,8.736
2457944.4804,bh,V,9.629,0.02,539.723,9.931
2457903.61294,bh,V,9.793,0.02,464.132,8.54
2457844.78226,bh,V,9.731,0.02,491.647,9.046
2457754.68346,bh,V,9.711,0.02,500.465,9.209
2457716.79854,bh,V,9.656,0.02,526.675,9.691
2457399.69609,bh,V,9.693,0.02,508.846,9.363
