wavelength,ch1_mean,ch1_std,photon_rate,photon_rate_std,sophia_region,sophia_region_std,qe
230.0,-4.312651533333333e-13,6.729658857773664e-14,5799173.896842254,904929.6397126244,15286.313302347433,14879.24213582984,0.002635946701076007
235.0,-4.978572500000001e-13,7.353012315600435e-14,6676002.254077069,986000.039031368,14889.307513611457,14210.746607605211,0.002230272990773554
240.0,-4.941086166666667e-13,5.3547658063654425e-14,6755932.822380998,732155.5797071423,12417.94916389726,11793.904985791964,0.001838080616011927
245.0,-4.4327147e-13,5.678201620869736e-14,6357715.995674949,814408.228701724,10963.801974317794,9863.90422515972,0.001724487533223612
250.0,-3.707487333333333e-13,5.856686924012777e-14,5676734.4335925495,896749.0200006407,9633.191576055406,8277.963704629174,0.001696960054895327
255.0,-3.295335733333334e-13,6.28500073192514e-14,5419691.076806235,1033665.9187705832,8863.299953642614,7381.05408536148,0.001635388406467193
260.0,-2.6554584e-13,5.838710300687758e-14,4672408.527024862,1027349.5452145434,8413.05765307258,6878.451015491745,0.0018005826340766397
265.0,-2.876607e-13,5.3757203446149134e-14,5345315.242335734,998917.1234236864,8760.248473260393,7506.097989611456,0.0016388647022869396
270.0,-3.539750733333333e-13,4.673185031840655e-14,6802302.287451982,898041.1228516464,9356.787847093634,8039.805532141657,0.0013755324964540082
275.0,-4.486127566666666e-13,6.364057466767924e-14,8674918.546096051,1230631.0805135476,8604.050670063132,7169.196881113527,0.0009918307156826492
280.0,-5.126004933333337e-13,4.078199665501051e-14,9730763.559364302,774170.0838954059,7700.50067890041,6260.780084138816,0.0007913562622215716
285.0,-5.239752966666666e-13,5.595772124065026e-14,9601953.490607629,1025436.5810969188,6923.888647099278,5587.273484854969,0.0007210916668021814
290.0,-4.7818279e-13,5.512371899649218e-14,8378845.106316279,965892.35918698,6361.628417086444,5164.606849314157,0.0007592488387559303
295.0,-3.6625074e-13,6.053192901215359e-14,6118118.030276734,1011169.250597796,5459.145359181899,4726.413963595948,0.0008922916053868564
300.0,-2.883902e-13,6.698311234779508e-14,4606239.775294639,1069870.877614576,5100.335969359099,4554.300748435392,0.0011072667117145146
305.0,-3.4300262666666665e-13,4.880539405657898e-14,5281739.72727347,751531.8211961691,5156.269657369988,4477.505361343329,0.000976244556456353
310.0,-5.408546800000001e-13,7.091216784476603e-14,8116205.210439708,1064126.330838563,5062.104885538764,4413.099901856354,0.0006237034124060199
315.0,-6.825431300000004e-13,5.294206597330176e-14,10070672.822462557,781140.7096901693,4963.118404025225,4260.794824147359,0.0004928288796112041
320.0,-5.087903333333333e-13,6.175228402465956e-14,7431000.439923323,901906.3840052944,4678.899249158233,3882.147908095601,0.0006296459389264297
325.0,-3.494540266666668e-13,4.638624968429713e-14,5076262.272044488,673819.01837016,4442.513767987623,3685.564200629981,0.0008751544994932619
330.0,-2.614924333333333e-13,5.807588637857846e-14,3789126.818111608,841542.1270800607,4445.2114637584245,3694.6103899591953,0.0011731492972235197
335.0,-1.8646050100000002e-13,5.2363613280858965e-14,2698705.2866667965,757876.1144164779,4893.302544333159,4066.0732465161914,0.0018132037494086417
340.0,-1.650184666666667e-13,5.160839368115522e-14,2385041.961372475,745905.5157579452,5112.2432514639295,4319.105222751504,0.0021434605068843668
345.0,-1.415880835e-13,5.571514590807288e-14,2040287.4657207013,802856.5048487368,6007.488588726555,5283.442209642351,0.0029444324339876777
350.0,-1.50837935e-13,5.942394199401095e-14,2160899.034378397,851305.3355829628,7120.382310892864,6610.369283625025,0.003295101806059675
355.0,-1.6135352166666668e-13,4.812375768792916e-14,2289408.2382807205,682816.9981649106,8268.288937636502,8127.516115482503,0.0036115397854275862
360.0,-2.12749591e-13,6.072933901762927e-14,2979536.3677073624,850508.2117401398,9611.92422028822,9677.374376344476,0.0032259798284268713
365.0,-2.974554653333334e-13,5.89413193823285e-14,4100639.009219004,812548.7734547515,9916.550552046823,10011.57504367924,0.0024182939609540275
370.0,-4.1104833e-13,5.2135713772411004e-14,5566271.219593993,706003.4110450262,10686.27370719328,10595.035500263311,0.001919826268899046
375.0,-5.554203299999999e-13,5.3573787907739314e-14,7377078.988019885,711565.7165138652,9609.249624389944,9331.653035739158,0.0013025819080960128
380.0,-6.444489933333334e-13,4.6385923584990994e-14,8387441.896663631,603708.3507258345,9699.221734993733,9294.55604032259,0.0011563980835267427
