10, 5, 2, -59775
11, 5, 0, -59810
12, 5, 0, -59828
13, 5, 0, -59871
14, 5, 0, -59937
15, 5, 0, -59978
0, 5, 0, -59991
1, 5, 0, -59983
2, 5, 0, -59983
3, 5, 0, -60004
4, 5, 0, -59991
5, 5, 0, -59993
6, 5, 0, -59367
7, 5, 0, -54970
8, 5, 0, -48267
9, 5, 0, -40709
10, 5, 0, -32850
11, 5, 0, -25012
12, 5, 0, -17406
13, 5, 0, -10196
14, 5, 0, -3383
15, 5, 0, 2927
0, 5, 0, 8728
1, 5, 0, 14005
2, 5, 0, 18778
3, 5, 0, 23082
4, 5, 0, 26922
5, 5, 0, 30228
6, 5, 0, 33089
7, 5, 0, 35558
8, 5, 0, 37685
9, 5, 0, 39506
10, 5, 0, 41069
11, 5, 0, 42441
12, 5, 0, 43626
13, 5, 0, 44638
14, 5, 0, 45514
15, 5, 0, 46269
0, 5, 0, 46940
1, 5, 0, 47517
2, 5, 0, 48015
3, 5, 0, 48411
4, 5, 0, 47201
5, 5, 0, 43552
6, 5, 0, 38756
7, 5, 0, 33337
8, 5, 0, 27588
9, 5, 0, 21717
10, 5, 0, 15899
11, 5, 0, 10187
12, 5, 0, 4911
13, 5, 0, 2464
14, 5, 0, 4392
15, 5, 0, 10584
0, 5, 0, 20528
1, 5, 0, 33554
2, 5, 0, 48960
3, 5, 0, 66073
4, 5, 0, 84348
5, 5, 0, 103266
6, 5, 0, 121613
7, 5, 0, 128206
8, 5, 0, 129091
9, 5, 0, 129237
10, 5, 0, 129157
11, 5, 0, 129071
12, 5, 0, 129051
13, 5, 0, 129061
14, 5, 0, 129080
15, 5, 0, 129065
0, 5, 0, 129017
1, 5, 0, 128949
2, 5, 0, 128828
3, 5, 0, 128639
4, 5, 0, 128332
5, 5, 0, 127885
6, 5, 0, 127306
7, 5, 0, 126715
8, 5, 0, 126346
9, 5, 0, 126180
10, 5, 0, 126147
11, 5, 0, 126163
12, 5, 0, 126172
13, 5, 0, 126189
14, 5, 0, 126169
15, 5, 0, 126119
0, 5, 0, 126026
1, 5, 0, 125949
2, 5, 0, 125871
3, 5, 0, 125814
4, 5, 0, 125801
5, 5, 0, 125804
6, 5, 0, 125787
7, 5, 0, 125724
8, 5, 0, 125669
9, 5, 0, 125593
10, 5, 0, 125522
11, 5, 0, 125531
12, 5, 0, 125587
13, 5, 0, 125591
14, 5, 0, 125587
15, 5, 0, 125549
0, 5, 0, 125526
1, 5, 0, 125519
2, 5, 0, 125508
3, 5, 0, 125509
4, 5, 0, 125535
5, 5, 0, 125545
6, 5, 0, 125512
7, 5, 0, 125488
8, 5, 0, 125445
9, 5, 0, 125403
10, 5, 0, 125377
11, 5, 0, 125399
12, 5, 0, 125398
13, 5, 0, 125322
14, 5, 0, 125209
15, 5, 0, 125041
0, 5, 0, 124831
1, 5, 0, 124643
2, 5, 0, 124379
3, 5, 0, 124064
4, 5, 0, 123711
5, 5, 0, 123186
6, 5, 0, 122499
7, 5, 0, 121570
8, 5, 0, 120147
9, 5, 0, 117536
10, 5, 0, 111749
11, 5, 0, 100490
12, 5, 0, 79543
13, 5, 0, 48884
14, 5, 0, 8518
15, 5, 0, -42595
0, 5, 0, -60186
1, 5, 0, -74365
2, 5, 0, -89945
3, 5, 0, -106031
4, 5, 0, -122722
5, 5, 0, -127125
6, 5, 0, -127327
7, 5, 0, -127214
8, 5, 0, -127061
9, 5, 0, -126889
10, 5, 0, -126703
11, 5, 0, -126508
12, 5, 0, -126350
13, 5, 0, -126210
14, 5, 0, -126094
15, 5, 0, -126033
0, 5, 0, -126025
1, 5, 0, -126001
2, 5, 0, -125976
3, 5, 0, -125951
4, 5, 0, -125940
