solution_id,designation,source_id,ra,dec,parallax,pmra,pmdec,pseudocolour,ruwe,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,radial_velocity,rv_template_teff,rv_template_logg,rv_template_fe_h,vbroad,phot_variable_flag,l,b,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,classprob_dsc_combmod_star,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
1.63614806892138E+018,Gaia DR3 2546040296489714816,2.54604029648971E+018,0.467052997474234,0.11226887388576,0.826638003681863,9.23807657892692,-28.0012627509928,,1.0288213,false,17.847807,18.365778,17.106815,1.2830012,1.2589626,0.51797104,0.7409916,,,,,,NOT_AVAILABLE,97.2912755543852,-60.2682463079444,0,false,false,false,false,false,true,true,0.9999937,5963.605,4.7125,-4.1174,1653.75,1.3736,1.1161,0.6217,0.4669850502264d+0.112306102598d,0.4669850502264,0.112306102598,0,0,0,0,2000,7.74776598196972E-05
1.63614806892138E+018,Gaia DR3 4994877094997259264,4.99487709499726E+018,0.548424219498226,-43.1684396182697,120.014269976675,613.785269533822,-686.989240364349,,1.1379193,false,12.895188,13.002297,12.692817,1.16427,0.30948067,0.10710907,0.2023716,,,,,,NOT_AVAILABLE,331.639241148164,-71.1099330278219,0,true,true,false,false,false,false,false,4.9933235E-05,,,,,,,,0.5483585670083d-43.16848397134d,0.5483585670083,-43.16848397134,0,0,0,0,2000,6.52687425582286E-05
1.63614806892138E+018,Gaia DR3 395234439752169344,3.95234439752169E+017,3.058219313546,50.419974932995,91.9645763027681,-461.332056786813,-551.667295935208,,1.0567747,false,14.236328,14.46869,13.839458,1.1921777,0.62923145,0.2323618,0.39686966,,,,,,NOT_AVAILABLE,116.566270484096,-11.966577751326,0,true,true,false,false,false,false,false,4.9933235E-05,,,,,,,,3.058067107649d+50.41985710248d,3.058067107649,50.41985710248,0,0,0,0,2000,0.000152607145853
1.63614806892138E+018,Gaia DR3 4689637991259439104,4.68963799125944E+018,5.9396339660562,-72.0961358061966,0.696814851633932,5.19774741154092,-4.12013397262267,1.564987,4.2729707,false,15.40312,15.297117,14.347948,1.9120462,0.94916916,-0.10600281,1.055172,,,,,,NOT_AVAILABLE,305.927692657621,-44.8707611862838,0,false,false,false,false,false,false,true,0.999996,,,,,,,,5.939982083333d-72.09597222222d,5.939982083333,-72.09597222222,0,0,0,0,2000,0.000195480883612
1.63614806892138E+018,Gaia DR3 4689637991259439104,4.68963799125944E+018,5.9396339660562,-72.0961358061966,0.696814851633932,5.19774741154092,-4.12013397262267,1.564987,4.2729707,false,15.40312,15.297117,14.347948,1.9120462,0.94916916,-0.10600281,1.055172,,,,,,NOT_AVAILABLE,305.927692657621,-44.8707611862838,0,false,false,false,false,false,false,true,0.999996,,,,,,,,5.940042836584d-72.09602454422d,5.940042836584,-72.09602454422,0,0,0,0,2000,0.000167864920624
1.63614806892138E+018,Gaia DR3 431160569875463936,4.31160569875464E+017,6.33322920281687,64.1381048153056,0.373804714677505,-4.2013625945381,-0.518219888006677,,1.7194463,false,15.107386,15.519713,14.303321,1.378815,1.2163925,0.41232777,0.80406475,,,,,,NOT_AVAILABLE,120.089271693848,1.41053221398843,0,true,false,false,false,false,true,true,0.99999267,10538.678,3.8508,-1.1084,3239.4434,2.5808,2.2688,1.2364,6.3335025d+64.13815833333d,6.3335025,64.13815833333,0,0,0,0,2000,0.000130674908046
1.63614806892138E+018,Gaia DR3 2557232087909005184,2.55723208790901E+018,9.01074628265374,7.0130596453699,,,,,,true,16.93159,16.678831,15.858669,2.046103,0.8201618,-0.25275803,1.0729198,,,,,,NOT_AVAILABLE,116.150196673396,-55.6558446657477,0,false,false,false,false,false,false,false,0,,,,,,,,9.010874162611d+7.013065483695d,9.010874162611,7.013065483695,0,0,0,0,2000,0.000127057410341
1.63614806892138E+018,Gaia DR3 2349916559152267008,2.34991655915227E+018,10.3562199253702,-22.3523335427289,109.92764165735,-463.206042107476,-381.783894890859,,0.98814744,false,14.297183,14.665041,13.753858,1.2110966,0.91118336,0.36785793,0.5433254,,,,,,NOT_AVAILABLE,96.9415931097065,-84.7110381362398,0,true,true,false,false,false,false,false,0.9999782,,,,,,,,10.35618706185d-22.35244992958d,10.35618706185,-22.35244992958,0,0,0,0,2000,0.000120290101369
1.63614806892138E+018,Gaia DR3 369283693293115904,3.69283693293116E+017,10.9751277889664,41.4405575422863,0.225954849393827,0.140437891545786,0.424519840193418,1.6053094,0.94613445,false,19.023619,18.999836,18.817036,1.2504301,0.1828003,-0.02378273,0.20658302,,,,,,NOT_AVAILABLE,121.414730314881,-21.4089872454248,0,false,false,false,true,false,false,false,1.01569206E-07,,,,,,,,10.97520833333d+41.44055555556d,10.97520833333,41.44055555556,0,0,0,0,2000,6.04121770325014E-05
1.63614806892138E+018,Gaia DR3 381306956023176320,3.81306956023176E+017,11.0575449426745,41.8177383508752,-0.012011968739425,-0.097159777059768,-0.266435888666628,1.4704847,1.1458819,false,18.910965,18.870623,18.44035,1.4019935,0.43027306,-0.04034233,0.4706154,,,,,,NOT_AVAILABLE,121.493209182375,-21.0338760886352,0,false,false,false,true,false,true,false,1.9350247E-07,7402.34,4.5776,-3.7929,9016.189,0.0015,0.0013,0.0007,11.05766666667d+41.81775d,11.05766666667,41.81775,0,0,0,0,2000,9.14620688029773E-05
