wavelength,ch1_mean,ch1_std,photon_rate,photon_rate_std,sophia_region,sophia_region_std,qe
200,-5.41007816666667e-13,6.24009730710298e-14,5972200.52146936,688846.098770168,2986.480704,191.07991270173068,0.0005000637023596163
205,-5.0706925e-13,8.06905818476182e-14,5789388.26663365,921272.800069109,2396.045252,146.58705165078104,0.00041386846790174357
210,-5.428348e-13,7.39559539539763e-14,6600773.71621832,899291.123224338,1529.0886999999998,82.33752479330494,0.00023165294944787733
215,-4.9776519e-13,6.74645145548747e-14,6453353.11051687,874654.040898705,1352.6669679999998,86.95436046641721,0.00020960684233992897
220,-4.67591046666667e-13,4.61435945127796e-14,6303413.29094775,622043.875770159,1585.26978,117.61949775655955,0.0002514938663908624
225,-4.5285923e-13,7.2919736574758e-14,6139650.81589294,988611.229489375,1788.2517279999995,118.41484956045956,0.0002912627739953839
230,-4.31265153333333e-13,6.729658857773663e-14,5799173.89684225,904929.639712624,1881.745628,133.396538292216,0.00032448511830704765
235,-4.9785725e-13,7.35301231560044e-14,6676002.25407707,986000.039031368,2389.094304,176.21684752467254,0.00035786301637944585
240,-4.94108616666667e-13,5.35476580636544e-14,6755932.822381,732155.579707142,3044.99502,270.0303908156919,0.000450714224083544
245,-4.4327147e-13,5.67820162086974e-14,6357715.99567495,814408.228701724,3160.79552,271.7655929842362,0.0004971589674893055
250,-3.70748733333333e-13,5.856686924012782e-14,5676734.43359255,896749.020000641,3519.4875640000005,186.75583286225688,0.000619984536034157
255,-3.29533573333333e-13,6.28500073192514e-14,5419691.07680624,1033665.91877058,7730.188939999998,1271.3780618003964,0.0014263154173273114
260,-2.6554584e-13,5.838710300687762e-14,4672408.52702486,1027349.54521454,10646.989608,1764.0077296085292,0.0022786940710382265
265,-2.876607e-13,5.37572034461491e-14,5345315.24233573,998917.123423686,3539.0623520000004,312.41883721560794,0.0006620867416705519
270,-3.53975073333333e-13,4.67318503184066e-14,6802302.28745198,898041.122851646,2361.229944,198.257010054388,0.0003471221719087222
275,-4.48612756666667e-13,6.36405746676792e-14,8674918.54609605,1230631.08051355,2015.11398,125.20711182314608,0.00023229197707070766
280,-5.12600493333334e-13,4.07819966550105e-14,9730763.5593643,774170.083895406,2078.552572,141.673966945364,0.000213606317666585
285,-5.23975296666667e-13,5.59577212406503e-14,9601953.49060763,1025436.58109692,2733.0199999999995,241.3217745842373,0.0002846316640330913
290,-4.7818279e-13,5.51237189964922e-14,8378845.10631628,965892.35918698,4274.858716,337.38132097267624,0.0005101966514188757
295,-3.6625074e-13,6.05319290121536e-14,6118118.03027673,1011169.2505978,6778.740412,463.1358171730048,0.0011079780380917872
300,-2.883902e-13,6.698311234779512e-14,4606239.77529464,1069870.87761458,8818.924332,511.5465435507717,0.0019145604141798925
305,-3.43002626666667e-13,4.8805394056579e-14,5281739.72727347,751531.821196169,11425.539168,615.5149059341567,0.00216321510675765
310,-5.4085468e-13,7.091216784476599e-14,8116205.21043971,1064126.33083856,14144.889788000002,717.7529799900047,0.001742795976844661
315,-6.8254313e-13,5.2942065973301804e-14,10070672.8224626,781140.709690169,15300.47914,690.9494465921721,0.0015193105177513401
320,-5.08790333333333e-13,6.17522840246596e-14,7431000.43992332,901906.384005294,23585.21946,992.9236530925588,0.003173895581177408
325,-3.49454026666667e-13,4.63862496842971e-14,5076262.27204449,673819.01837016,20737.848452,882.9410193915154,0.004085259456786839
330,-2.61492433333333e-13,5.80758863785785e-14,3789126.81811161,841542.127080061,22072.368152,844.4288855554356,0.005825185909982348
