wavelength,ch1_mean,ch1_std,photon_rate,photon_rate_std,sophia_region,sophia_region_std,qe
200.0,-2.806316266666667e-12,1.5239546210959028e-13,30979004.28584923,1682297.7972631103,1763.260323320948,697.4411020196451,5.691791469638617e-05
210.0,-2.2048883333333335e-12,6.114745761535979e-14,26811046.30333773,743542.1071770648,1562.782613789164,550.7638551276019,5.82887588984027e-05
220.0,-1.6781607666666669e-12,7.119006552868798e-14,22622633.50926521,959685.623657521,1311.5125882974498,416.5812400054632,5.797347102671814e-05
230.0,-1.7649777e-12,5.4743675068541016e-14,23733456.1515976,736132.0269465868,1497.7820659032686,576.1531123982575,6.310846832994639e-05
240.0,-1.6900959e-12,5.3156288483646674e-14,23108632.35053525,726804.3947610203,1651.784902607523,651.9690011807244,7.1479128559041e-05
250.0,-1.3990744e-12,5.628126616059736e-14,21421985.046937905,861752.9147235118,1644.512890373789,661.7603655349645,7.676753049591258e-05
260.0,-1.1543465666666665e-12,5.427663987738085e-14,20311290.66542789,955023.9423119264,1625.94708970698,692.608128937482,8.005139193219885e-05
270.0,-1.6900407666666666e-12,4.993797688979357e-14,32477338.205557737,959652.9247930478,2102.991311585032,1006.3086911829269,6.475257603546938e-05
280.0,-1.8837579333333334e-12,4.1832093888889824e-14,35759628.191429645,794104.2197967878,2326.126796042048,1208.654164502185,6.504896481556653e-05
290.0,-1.9028049e-12,5.71109660230853e-14,33341449.87660396,1000713.4263019452,2110.776253019892,1140.1475615689078,6.330787235803579e-05
300.0,-3.3127175333333336e-12,5.3611088604711485e-14,52911545.76804603,856289.5990497154,2142.0589280477398,1123.955584211528,4.0483771489839114e-05
310.0,-6.5181264e-12,5.404002561780783e-14,97812690.55485404,810938.6009039382,3606.4236164441927,2163.412382427312,3.6870712746846336e-05
320.0,-4.7477591e-12,4.0433211105352494e-14,69342119.23722993,590536.3954989716,3981.1883268705233,2838.1842465695863,5.7413710031709196e-05
330.0,-1.0614023600000001e-12,4.8123008788482885e-14,15380132.020708386,697321.069081264,1678.5106099000802,919.6037870659876,0.00010913499361644429
340.0,-8.777599033333332e-13,7.213643289104095e-14,12686423.790914595,1042601.0062037233,1397.8483364930971,638.6733866469337,0.00011018458468131649
350.0,-1.1059964233333333e-12,5.3207608243644294e-14,15844466.467980754,762250.3535020879,1536.6714468351229,720.5880068887087,9.698473911636603e-05
360.0,-1.8983179333333337e-12,7.010638248734722e-14,26585749.44023159,981832.751111863,1907.6432698121887,982.5928198292104,7.175435374130914e-05
370.0,-2.7595901666666663e-12,6.316943768209612e-14,37369394.79255701,855418.2008908488,2480.7657769075267,1330.991538327932,6.638495995663353e-05
380.0,-3.749862966666667e-12,6.581876495472663e-14,48804107.19657892,856624.919083997,3550.742411409938,1995.251132608949,7.275499164666286e-05
390.0,-4.670605700000001e-12,9.71382772505772e-14,58317104.632478245,1212866.904658766,5125.984144245704,3017.1625146765787,8.789846780889249e-05
400.0,-5.143733266666666e-12,7.609689760120899e-14,61725592.09627338,913174.5014002302,6080.14546373995,3632.8528868539497,9.850282933303824e-05
410.0,-5.642693000000001e-12,6.027937530477015e-14,65389168.334234126,698534.940477196,7266.878089224417,4478.671575292912,0.00011113274987808468
420.0,-6.0933370666666666e-12,6.840283289598145e-14,68561387.6889952,769659.2349801632,8434.97198299082,5346.727043973264,0.0001230280230215457
430.0,-6.085767066666668e-12,6.871164413350101e-14,66802354.38220506,754235.177144927,8660.906102930625,5574.779926662031,0.00012964971344240126
440.0,-8.350450166666667e-12,9.13273543359575e-14,89780534.77844748,981913.3757499056,12645.728366648278,8439.928478379066,0.00014085155983815752
450.0,-7.448889433333334e-12,9.361968949129005e-14,78710690.56602095,989257.5901933296,11143.057758843026,7391.795810147077,0.00014156981318181236
460.0,-8.285264033333333e-12,5.20952114833876e-14,86288361.92705347,542554.8835933022,11754.610988413417,7802.295765981717,0.00013622475529609127
470.0,-9.3138047e-12,6.080705255650875e-14,95828850.72647984,625637.9804222102,11429.122868572797,7434.881578971021,0.0001192659912117119
480.0,-1.3144163666666667e-11,6.09769821316937e-14,133860953.430816,620993.253924715,14016.514148508626,9010.15076999224,0.00010470950482025999
490.0,-7.618927533333332e-12,3.591637528085993e-14,76917388.42765579,362596.1496949301,11338.161540066323,7606.606179765786,0.00014740700083350292
500.0,-7.337865633333335e-12,4.881049576234146e-14,73521729.99850214,489056.664410699,11615.219639336192,7924.64350268628,0.00015798349194956143
510.0,-6.0787103333333336e-12,5.71704504841055e-14,60498144.5679151,568986.839105331,9829.182316099725,6676.943750408641,0.0001624708061098552
520.0,-5.3358276e-12,5.1326817815251293e-14,52779428.933758,507700.0863513656,8558.925470625481,5787.860250946217,0.00016216404086841395
530.0,-6.652937733333333e-12,1.1272048510628221e-13,65425564.49615108,1108502.9898007915,10602.90121129664,7314.619501969509,0.00016206052317546907
540.0,-7.444635266666666e-12,5.2145136177744936e-14,72793084.50823073,509871.2251862081,11718.756051336848,8145.2543265882705,0.00016098721644377915
550.0,-7.6382099e-12,6.103843853963382e-14,74251559.05424464,593358.8213914498,12191.382926260554,8511.06074808162,0.00016419026188196415
560.0,-8.574653300000002e-12,7.13081517318322e-14,82846618.08454502,688965.3734270385,13582.43926647814,9547.105508763583,0.00016394681618285559
570.0,-2.7101109666666663e-11,4.7156829726868897e-14,260136281.606826,452645.7583617729,37666.48456839238,24722.876020682143,0.00014479519863869693
580.0,-2.322310133333333e-11,6.302714323915438e-14,221367117.9560885,600786.9858377159,36076.31856182728,24717.637384551184,0.0001629705391429614
590.0,-3.5400998666666663e-11,6.737991425409274e-14,335029594.6520068,637673.1225238412,42311.09172085438,24565.390179574824,0.0001262906095349656
600.0,-3.327893233333334e-11,1.6232321295660566e-13,312661966.20478934,1525057.7877721093,40738.395408665296,24685.552802747217,0.00013029533429717577
